Team,Name,Position,Height,Birth_Year
USA,E. Shoji,L,184,1989
USA,Ensing,O,201,1997
USA,Ewert,OH,195,1997
USA,Garcia,O,200,1999
USA,Gasman,MB,208,1997
USA,Hanes,O,210,1998
USA,Holt,MB,205,1987
USA,Isaacson,S,187,1999
USA,Jaeschke,OH,198,1993
USA,Jendryk,MB,208,1995
USA,Kessel,OH,196,1991
USA,Knigge,MB,201,1996
USA,Ma'a,S,192,1997
USA,Marshman,MB,201,1994
USA,Muagututia,OH,196,1988
USA,Russell,OH,205,1993
USA,Smith,MB,201,1985
USA,Tuaniga,S,191,1997
USA,Wetter,OH,195,2000
USA,Wildman,MB,196,1999
